,Speaker Party,Speaker,"('allgemein', 'volksinitiativ')","('ansicht', 'svpfraktion')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('autofrei', 'sonntag')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'nam')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'verkehr')","('bundesprasident', 'villig')","('bundesrat', 'villig')","('darauf', 'aufmerksam')","('darum', 'geht')","('de', 'dardel')","('desweg', 'mocht')","('drei', 'jahr')","('einseit', 'massnahm')","('energi', 'schweiz')","('entwurf', 'bundesrat')","('erinner', 'ruf')","('erneuerbar', 'energi')","('erst', 'lini')","('etapp', 'bahn')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('gesetz', 'grundlag')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'schluer')","('herr', 'theil')","('indig', 'volk')","('kanton', 'uri')","('kanton', 'zurich')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'verkehr')","('konstruktiv', 'referendum')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('mocht', 'darauf')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patient', 'patientinn')","('pensionskass', 'bund')","('pro', 'helvetia')","('pro', 'jahr')","('rentn', 'rentnerinn')","('rentnerinn', 'rentn')","('rund', 'milliard')","('russisch', 'foderation')","('schluss', 'gekomm')","('seit', 'jahr')","('servic', 'public')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'mocht')","('st', 'gall')","('standerat', 'folg')","('status', 'quo')","('steu', 'abgab')","('sursis', 'partiel')","('svpfraktion', 'antrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('unt', 'mittl')","('verkehr', 'fernmeldewes')","('vier', 'jahr')","('voll', 'ganz')","('weiterbild', 'schweiz')","('zehn', 'jahr')","('zweit', 'etapp')","('zweit', 'rohr')","('zweit', 'saul')"
36,Schweizerische Volkspartei (SVP),Toni Bortoluzzi,0,0,2,1,10,0,0,0,0,16,1,6,2,0,0,1,1,2,8,1,0,3,0,0,4,6,0,9,0,0,0,0,0,0,0,0,22,1,2,1,3,0,1,0,0,0,0,1,0,0,0,0,7,0,6,4,0,36,16,6,7,2,2,2,0,9,6,0,23,0,0,0,0,0,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,3,0,0,0,2,3,2,1,0,0,5,1,0,5,0,0,18
37,Schweizerische Volkspartei (SVP),Toni Brunner,0,0,0,0,5,0,0,0,0,2,0,6,1,1,0,2,1,1,1,0,0,2,0,0,2,3,3,2,0,0,0,1,0,0,0,0,1,0,0,2,2,3,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,40,6,2,0,0,2,0,0,11,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,4,0,1,0,3,0,0,1,1,0,0,3,0,1,10,0,0,3,0,0,0
38,Schweizerische Volkspartei (SVP),Ueli Maurer,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
39,Schweizerische Volkspartei (SVP),Ulrich Giezendanner,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,5,15,7,0,3,0,3,0,0,1,1,0,0,0,0,1,0,7,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0
40,Schweizerische Volkspartei (SVP),Ulrich Schlüer,0,0,0,6,2,0,4,0,0,1,0,4,3,0,0,0,1,3,14,1,0,3,1,0,1,4,0,3,0,5,0,0,1,0,2,1,17,0,1,9,8,62,8,0,0,7,0,3,3,0,0,0,15,0,0,9,0,32,5,3,1,2,0,0,0,19,0,0,3,0,0,1,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,2,0,0,3,0,6,0,2,0,0,1,1,1,0,0,12,0,0,2,0,0,0
41,Schweizerische Volkspartei (SVP),Ulrich Siegrist,0,0,0,2,7,0,0,0,1,4,4,3,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,2,4,0,0,0,2,12,4,0,0,4,2,0,3,0,1,1,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,1,0,2,1,1,2,0,0,3,0,0,1,0,0,0
42,Schweizerische Volkspartei (SVP),Walter Glur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Sozialdemokratische Partei der Schweiz (SP),Alexander Tschäppät,0,0,1,0,3,0,0,0,0,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,9,0,0,1,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0
44,Sozialdemokratische Partei der Schweiz (SP),Andrea Hämmerle,0,0,0,0,6,0,0,0,11,3,5,4,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,1,6,0,1,0,0,1,0,3,2,0,0,0,3,0,0,10,0,0,0,0,0,2,0,0,1,2,0,0,31,5,3,0,2,0,0,5,1,0,10,17,0,0,0,4,0,0,0,0,0,1,8,0,0,1,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,0,0,3,1,5,0
45,Sozialdemokratische Partei der Schweiz (SP),Andreas Gross,41,0,0,1,9,0,1,1,0,1,2,2,0,0,0,0,0,3,3,5,0,1,0,0,0,2,0,1,0,5,0,0,1,4,1,12,7,1,0,4,4,17,0,6,0,0,0,4,0,0,0,15,0,3,11,0,0,1,1,0,3,0,1,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,22,0,0,0
46,Sozialdemokratische Partei der Schweiz (SP),Anita Fetz,0,0,0,1,1,0,0,0,0,0,3,2,3,0,0,0,1,1,8,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,5,4,11,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,25,1,2,2,0,0,0,7,0,0,0,1,0,0,1,4,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,6,0,0,0
47,Sozialdemokratische Partei der Schweiz (SP),Anita Thanei,0,0,18,0,20,13,0,0,0,4,33,5,0,1,0,0,1,4,1,14,0,5,0,0,3,1,0,2,0,0,0,2,0,0,2,0,4,22,11,3,0,2,1,0,0,0,0,0,29,1,0,0,0,0,38,0,31,3,1,14,6,16,1,5,14,0,0,0,36,0,0,0,5,0,5,0,0,0,2,2,5,0,3,1,1,1,1,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0,0,9,0,0,0
48,Sozialdemokratische Partei der Schweiz (SP),Barbara Haering,0,0,0,23,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,1,0,0,0,1,1,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,2,0,0,0,4,0,0,0,1,0,0,2,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0
49,Sozialdemokratische Partei der Schweiz (SP),Barbara Marty Kälin,0,0,0,0,2,0,0,0,0,1,14,0,3,0,0,0,3,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,5,0,1,7,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,13,3,5,0,0,2,0,1,0,0,6,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0
50,Sozialdemokratische Partei der Schweiz (SP),Boris Banga,0,0,0,6,6,0,1,0,0,3,1,4,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3,5,8,5,0,0,0,0,5,1,0,0,0,0,4,0,2,8,2,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0
51,Sozialdemokratische Partei der Schweiz (SP),Christine Goll,0,0,6,0,15,3,0,0,0,9,11,1,10,0,0,3,9,8,2,0,0,4,0,0,9,4,0,2,0,0,3,0,1,0,2,0,10,7,1,4,5,12,0,0,3,0,0,7,1,0,0,0,1,4,10,0,2,48,9,13,7,8,2,0,3,0,0,0,18,13,0,0,11,11,13,1,0,0,2,0,1,0,0,0,3,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,1,0,3,0,0,17
52,Sozialdemokratische Partei der Schweiz (SP),Claude Janiak,11,0,1,3,32,0,2,0,0,11,7,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,10,4,2,5,1,1,0,0,0,0,0,0,2,2,0,3,0,0,10,0,0,3,4,3,1,0,1,3,9,0,0,1,29,0,0,1,1,0,0,0,0,0,3,1,0,3,0,5,0,0,0,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0
53,Sozialdemokratische Partei der Schweiz (SP),Doris Stump,0,0,0,0,3,0,0,0,0,4,3,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,2,3,1,0,3,1,0,0,0,1,0,0,3,1,1,0,0,0,0,6,0,2,21,2,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,3,0,0,0
54,Sozialdemokratische Partei der Schweiz (SP),Ernst Leuenberger,0,0,6,0,26,0,0,0,2,6,2,1,3,8,5,1,25,12,5,0,0,5,2,1,7,10,0,6,7,0,2,3,4,0,0,5,8,6,2,2,10,37,2,0,0,0,0,8,0,3,19,0,0,0,4,0,0,30,3,4,0,2,4,4,0,0,0,16,8,0,1,0,5,0,1,1,0,14,3,16,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,19,3,1,0,5,9,0,0
55,Sozialdemokratische Partei der Schweiz (SP),Erwin Jutzet,0,0,1,0,15,4,1,0,0,3,16,0,3,3,0,0,0,2,5,2,0,4,0,0,4,0,0,2,0,0,0,0,0,0,2,0,10,2,4,5,0,4,1,4,0,1,0,0,29,0,0,0,0,0,3,0,0,5,2,4,0,2,0,0,1,0,0,4,14,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
56,Sozialdemokratische Partei der Schweiz (SP),Fabio Pedrina,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0
57,Sozialdemokratische Partei der Schweiz (SP),Franco Cavalli,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,16,7,3,0,0,2,0,2,0,0,0,9,0,0,0,11,0,1,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
58,Sozialdemokratische Partei der Schweiz (SP),Hans Widmer,0,0,1,0,14,0,0,0,0,4,0,5,6,0,0,0,3,1,3,0,2,2,0,0,3,0,1,2,0,1,0,0,1,0,0,0,3,0,2,1,4,12,1,5,0,0,1,0,1,2,0,4,0,2,2,0,0,38,6,4,1,0,2,3,4,0,0,0,2,0,0,3,8,0,0,0,0,0,1,0,0,1,2,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,0,0
59,Sozialdemokratische Partei der Schweiz (SP),Hans-Jürg Fehr,0,0,2,0,9,0,0,45,0,2,0,0,3,1,0,1,2,1,4,0,0,2,0,0,1,1,0,1,0,1,1,6,1,0,0,0,2,4,0,0,3,2,0,3,1,0,0,8,0,1,10,0,0,1,8,0,0,21,1,5,0,1,4,2,1,0,0,7,27,0,1,0,8,0,0,0,0,1,1,6,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,10,8,0,0,2,0,0,3
60,Sozialdemokratische Partei der Schweiz (SP),Hildegard Fässler-Osterwalder,0,0,3,1,35,0,0,0,0,7,3,1,11,0,0,3,32,0,6,1,0,11,0,1,15,2,7,3,0,0,1,0,4,0,3,10,35,3,2,3,5,23,2,4,0,0,0,3,3,7,0,0,1,13,16,0,7,127,18,17,3,1,12,1,3,0,0,1,27,0,0,0,10,0,0,4,0,1,2,3,3,0,0,0,0,1,0,4,6,1,3,1,0,0,0,0,0,0,0,0,0,0,6,2,0,9,0,0,8,0,0,2
61,Sozialdemokratische Partei der Schweiz (SP),Jacqueline Fehr,0,0,0,7,1,0,1,5,0,5,9,0,1,0,0,1,1,1,1,0,0,4,0,0,0,0,0,6,0,0,0,8,0,0,0,3,4,0,0,2,1,0,0,0,2,0,1,14,0,0,2,0,0,0,4,0,0,34,5,6,0,0,2,0,3,0,0,3,15,0,0,0,14,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,5,4,0
62,Sozialdemokratische Partei der Schweiz (SP),Jost Gross,0,0,24,0,44,12,0,0,7,8,21,25,14,3,0,1,2,3,4,11,0,7,0,0,4,6,0,5,0,0,1,0,0,0,1,9,15,11,3,5,8,5,1,0,1,0,0,5,10,1,0,0,0,0,13,0,2,28,15,11,5,3,1,6,25,0,0,4,22,3,0,0,15,0,2,2,0,2,2,1,5,0,1,0,1,5,6,2,4,9,6,0,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,1,0,4
63,Sozialdemokratische Partei der Schweiz (SP),Mario Fehr,0,0,0,10,1,0,0,0,1,1,0,1,1,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,5,0,0,1,1,0,0,2,0,1,0,2,5,1,21,0,0,0,0,0,1,0,8,0,1,2,0,0,12,2,1,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
64,Sozialdemokratische Partei der Schweiz (SP),Moritz Leuenberger,0,0,2,0,33,9,0,3,34,2,0,0,28,3,22,2,3,14,16,0,12,9,45,24,17,14,13,36,16,50,34,50,32,0,33,6,34,19,6,8,2,2,0,5,1,0,39,29,0,1,2,0,0,6,26,0,0,123,13,10,3,17,51,1,0,0,0,22,26,0,0,0,23,0,0,1,0,7,14,94,0,0,0,0,0,0,0,0,23,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,1,0,13,19,22,1
65,Sozialdemokratische Partei der Schweiz (SP),Pascale Bruderer Wyss,0,0,0,0,3,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Sozialdemokratische Partei der Schweiz (SP),Paul Günter,0,0,0,2,5,0,0,0,0,3,0,0,3,0,0,0,1,3,8,1,0,0,0,0,0,2,0,4,0,0,0,0,1,0,2,3,14,0,0,2,6,16,7,12,1,0,0,2,0,0,0,0,0,1,1,0,0,9,0,1,0,1,2,0,2,0,1,0,16,0,0,0,0,0,0,0,0,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,5,0,0,0
67,Sozialdemokratische Partei der Schweiz (SP),Paul Rechsteiner,0,0,11,0,7,0,0,0,2,3,2,1,2,2,0,0,7,2,2,0,0,1,0,0,2,1,0,8,0,0,5,0,0,0,0,0,6,1,1,0,0,9,0,0,0,0,0,1,2,0,0,7,1,2,12,0,9,26,8,6,0,0,6,0,6,0,1,6,14,0,0,0,5,2,6,5,0,1,1,1,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0,38
68,Sozialdemokratische Partei der Schweiz (SP),Peter Vollmer,0,0,4,0,2,0,1,2,0,4,18,6,2,1,1,0,13,1,3,3,0,0,0,0,3,0,0,1,0,0,1,1,0,0,1,10,30,2,1,5,1,14,0,2,1,0,1,0,0,0,6,0,0,0,6,0,0,10,4,3,2,2,5,1,4,0,0,28,17,0,2,0,0,0,6,0,0,4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,2,0,9,6
69,Sozialdemokratische Partei der Schweiz (SP),Remo Gysin,0,0,4,0,17,0,8,0,1,7,1,18,6,1,0,0,11,3,3,0,1,8,0,0,5,13,1,1,0,0,2,0,1,1,3,0,7,1,2,1,2,43,0,16,0,15,0,0,0,3,0,0,0,0,5,0,0,67,10,10,2,1,3,1,18,0,0,0,9,0,0,0,2,0,0,1,0,1,5,6,0,0,4,0,0,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0
70,Sozialdemokratische Partei der Schweiz (SP),Roberto Zanetti,0,0,0,0,3,0,0,0,0,1,7,0,0,0,0,2,3,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,17,0,1,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0
71,Sozialdemokratische Partei der Schweiz (SP),Rudolf Rechsteiner,0,0,3,0,0,0,0,0,0,2,7,1,2,0,0,0,3,0,5,0,0,4,0,6,1,3,56,5,0,4,1,0,0,0,2,0,9,0,2,0,0,7,2,0,0,0,0,0,0,1,1,0,0,8,8,0,0,31,6,4,2,5,9,0,3,0,1,2,4,0,0,0,6,1,3,2,0,0,4,2,1,0,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,18,0,0,34
72,Sozialdemokratische Partei der Schweiz (SP),Rudolf Strahm,0,0,0,0,26,1,0,0,0,8,1,5,5,3,0,1,14,0,5,0,7,6,0,0,5,3,2,0,0,0,2,0,1,0,0,0,13,0,2,0,6,27,2,2,1,0,0,4,3,3,0,0,0,3,9,0,3,77,16,13,10,0,5,2,12,0,2,1,26,0,0,0,21,0,0,6,0,2,1,0,1,3,2,0,0,1,0,2,3,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,9,0,1,1
73,Sozialdemokratische Partei der Schweiz (SP),Ruth-Gaby Vermot-Mangold,0,0,0,0,3,0,0,0,0,5,1,2,1,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,2,0,6,0,1,2,3,0,0,0,1,0,0,0,1,1,0,0,11,4,2,0,0,2,0,1,0,0,0,27,2,1,0,4,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
74,Sozialdemokratische Partei der Schweiz (SP),Simonetta Sommaruga,0,0,0,0,15,0,1,0,0,9,49,5,3,3,0,0,0,6,3,1,0,0,0,0,1,3,6,3,0,5,0,0,1,0,1,1,24,0,3,7,2,16,0,0,1,0,0,0,0,1,0,0,0,6,3,0,3,33,10,10,1,7,7,1,26,0,0,0,1,0,0,0,6,0,0,0,0,0,9,7,6,0,3,0,0,1,4,1,2,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,0,0,0
75,Sozialdemokratische Partei der Schweiz (SP),Susanne Leutenegger Oberholzer,0,0,15,0,6,2,1,0,0,7,24,0,2,3,0,1,6,1,2,1,1,1,0,0,4,1,0,2,0,0,4,1,0,0,2,1,4,6,3,4,9,46,0,1,1,0,0,2,2,0,0,10,0,0,4,0,0,27,4,5,13,6,1,0,5,0,0,1,46,0,1,0,3,1,0,2,0,0,2,13,0,0,0,4,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0
76,Sozialdemokratische Partei der Schweiz (SP),Urs Hofmann,0,0,3,4,8,0,0,0,0,5,5,0,2,0,1,12,14,0,2,0,0,4,0,0,6,0,2,0,0,0,0,1,0,0,0,0,8,0,0,4,6,12,2,0,0,0,0,0,0,8,0,0,0,4,14,0,0,100,5,4,0,0,40,1,0,0,0,0,0,0,1,2,4,0,2,4,0,0,1,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
77,Sozialdemokratische Partei der Schweiz (SP),Ursula Wyss,0,0,2,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,4,3,0,1,0,0,1,0,0,1,1,2,1,4,0,0,2,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,2,0,0,0,6,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
78,Sozialdemokratische Partei der Schweiz (SP),Vreni Hubmann,0,0,1,0,10,0,0,0,0,3,10,4,0,0,0,0,4,1,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,1,3,1,1,1,2,11,0,0,0,0,0,4,0,1,0,4,0,0,0,0,0,4,3,2,0,0,0,0,5,1,0,0,5,0,3,0,3,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0
79,Sozialdemokratische Partei der Schweiz (SP),Vreni Müller-Hemmi,0,0,0,1,35,0,5,0,1,0,0,0,8,1,0,0,1,2,1,0,0,4,0,0,8,1,0,5,0,3,0,0,0,0,1,0,8,0,8,2,9,14,0,5,0,0,0,0,0,4,0,0,0,1,3,0,0,61,1,1,0,0,4,9,4,0,0,0,25,0,0,54,11,0,0,1,0,6,5,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,17,6,0,0,0
80,Sozialdemokratische Partei der Schweiz (SP),Werner Marti,0,0,2,3,7,7,0,0,0,0,0,0,4,1,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,2,0,4,0,0,0,1,8,0,0,1,0,0,0,0,2,2,0,2,0,5,0,0,15,11,4,1,2,2,0,6,0,0,2,5,0,0,0,2,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,1,0
