,Speaker,Speaker Party,"('allgemein', 'volksinitiativ')","('ansicht', 'svpfraktion')","('arbeitnehmerinn', 'arbeitnehm')","('arme', 'xxi')","('artikel', 'absatz')","('artikel', 'or')","('aussenpolit', 'kommission')","('autofrei', 'sonntag')","('bilateral', 'abkomm')","('bitt', 'antrag')","('bitt', 'deshalb')","('bitt', 'nam')","('bund', 'kanton')","('bundesamt', 'justiz')","('bundesamt', 'verkehr')","('bundesprasident', 'villig')","('bundesrat', 'villig')","('darauf', 'aufmerksam')","('darum', 'geht')","('de', 'dardel')","('desweg', 'mocht')","('drei', 'jahr')","('einseit', 'massnahm')","('energi', 'schweiz')","('entwurf', 'bundesrat')","('erinner', 'ruf')","('erneuerbar', 'energi')","('erst', 'lini')","('etapp', 'bahn')","('europa', 'union')","('flankier', 'massnahm')","('flughaf', 'zurich')","('frag', 'herrn')","('fried', 'sicherheitspolit')","('ganz', 'schweiz')","('ganz', 'wichtig')","('geht', 'darum')","('geltend', 'recht')","('gemass', 'artikel')","('gesetz', 'grundlag')","('herr', 'bundesprasident')","('herr', 'bundesrat')","('herr', 'kolleg')","('herr', 'schluer')","('herr', 'theil')","('indig', 'volk')","('kanton', 'uri')","('kanton', 'zurich')","('kommission', 'rechtsfrag')","('kommission', 'stimm')","('kommission', 'verkehr')","('konstruktiv', 'referendum')","('mehr', 'benotigt')","('mehr', 'geld')","('mehrheit', 'kommission')","('mehrheit', 'svpfraktion')","('mieterinn', 'miet')","('million', 'frank')","('mind', 'i')","('mind', 'ii')","('mocht', 'daran')","('mocht', 'darauf')","('nach', 'jahr')","('nam', 'kommission')","('nam', 'spfraktion')","('nam', 'svpfraktion')","('neu', 'steu')","('offent', 'verkehr')","('parlamentar', 'initiativ')","('patient', 'patientinn')","('pensionskass', 'bund')","('pro', 'helvetia')","('pro', 'jahr')","('rentn', 'rentnerinn')","('rentnerinn', 'rentn')","('rund', 'milliard')","('russisch', 'foderation')","('schluss', 'gekomm')","('seit', 'jahr')","('servic', 'public')","('spfraktion', 'antrag')","('spfraktion', 'beantrag')","('spfraktion', 'bitt')","('spfraktion', 'ersuch')","('spfraktion', 'lehnt')","('spfraktion', 'mehrheit')","('spfraktion', 'mind')","('spfraktion', 'mocht')","('st', 'gall')","('standerat', 'folg')","('status', 'quo')","('steu', 'abgab')","('sursis', 'partiel')","('svpfraktion', 'antrag')","('svpfraktion', 'beantragt')","('svpfraktion', 'bitt')","('svpfraktion', 'bittet')","('svpfraktion', 'empfiehlt')","('svpfraktion', 'lehnt')","('svpfraktion', 'mehrheit')","('svpfraktion', 'mind')","('svpfraktion', 'vorlag')","('uns', 'kommission')","('unt', 'mittl')","('verkehr', 'fernmeldewes')","('vier', 'jahr')","('voll', 'ganz')","('weiterbild', 'schweiz')","('zehn', 'jahr')","('zweit', 'etapp')","('zweit', 'rohr')","('zweit', 'saul')"
0,Bruno Zuppiger,Schweizerische Volkspartei (SVP),0.0,0.030864197530864196,0.0030864197530864196,0.0,0.046296296296296294,0.0,0.0,0.0,0.0,0.024691358024691357,0.0030864197530864196,0.018518518518518517,0.05555555555555555,0.0,0.0,0.006172839506172839,0.006172839506172839,0.0,0.006172839506172839,0.0,0.0,0.006172839506172839,0.0,0.0030864197530864196,0.015432098765432098,0.0,0.006172839506172839,0.027777777777777776,0.0,0.0,0.0030864197530864196,0.0,0.0030864197530864196,0.0,0.0,0.0,0.021604938271604937,0.006172839506172839,0.0030864197530864196,0.012345679012345678,0.006172839506172839,0.006172839506172839,0.006172839506172839,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.006172839506172839,0.0,0.0,0.0,0.009259259259259259,0.06790123456790123,0.012345679012345678,0.0030864197530864196,0.19444444444444445,0.05864197530864197,0.018518518518518517,0.0,0.0,0.012345679012345678,0.0,0.0,0.05864197530864197,0.018518518518518517,0.0030864197530864196,0.0030864197530864196,0.0,0.0,0.0030864197530864196,0.012345679012345678,0.0,0.0,0.0,0.0,0.0030864197530864196,0.0030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030864197530864196,0.0,0.012345679012345678,0.0,0.015432098765432098,0.0,0.018518518518518517,0.0,0.021604938271604937,0.0030864197530864196,0.0,0.0,0.027777777777777776,0.018518518518518517,0.009259259259259259,0.0030864197530864196,0.0030864197530864196,0.0,0.012345679012345678,0.0,0.0,0.027777777777777776,0.0,0.0,0.0
1,Caspar Baader,Schweizerische Volkspartei (SVP),0.010183299389002037,0.0,0.008146639511201629,0.0,0.12016293279022404,0.0,0.0,0.0,0.002036659877800407,0.016293279022403257,0.032586558044806514,0.014256619144602852,0.016293279022403257,0.004073319755600814,0.0,0.0,0.008146639511201629,0.0,0.008146639511201629,0.002036659877800407,0.0,0.004073319755600814,0.0,0.0,0.016293279022403257,0.002036659877800407,0.0,0.018329938900203666,0.0,0.0,0.006109979633401222,0.0,0.0,0.0,0.0,0.0,0.028513238289205704,0.002036659877800407,0.02240325865580448,0.0,0.002036659877800407,0.012219959266802444,0.004073319755600814,0.002036659877800407,0.0,0.0,0.0,0.006109979633401222,0.012219959266802444,0.008146639511201629,0.002036659877800407,0.0,0.006109979633401222,0.002036659877800407,0.07331975560081466,0.004073319755600814,0.006109979633401222,0.1690427698574338,0.04684317718940937,0.03665987780040733,0.0,0.0,0.0,0.008146639511201629,0.0,0.006109979633401222,0.008146639511201629,0.0,0.07535641547861507,0.0,0.008146639511201629,0.0,0.034623217922606926,0.0,0.002036659877800407,0.006109979633401222,0.0,0.0,0.002036659877800407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03054989816700611,0.0,0.006109979633401222,0.0,0.002036659877800407,0.008146639511201629,0.002036659877800407,0.014256619144602852,0.0,0.0,0.004073319755600814,0.004073319755600814,0.0,0.0,0.0,0.002036659877800407,0.012219959266802444,0.0,0.0,0.026476578411405296,0.0,0.0,0.002036659877800407
2,Christian Speck,Schweizerische Volkspartei (SVP),0.0,0.00398406374501992,0.0,0.0,0.07569721115537849,0.0,0.0,0.0,0.0,0.0199203187250996,0.0199203187250996,0.01195219123505976,0.00398406374501992,0.0,0.0,0.0,0.0,0.00796812749003984,0.0,0.0,0.0,0.027888446215139442,0.0,0.02390438247011952,0.00796812749003984,0.00796812749003984,0.1593625498007968,0.00398406374501992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01593625498007968,0.0199203187250996,0.01593625498007968,0.00398406374501992,0.0,0.00398406374501992,0.00796812749003984,0.0,0.0,0.0,0.0,0.00398406374501992,0.0,0.00398406374501992,0.0,0.0,0.0,0.0,0.055776892430278883,0.00796812749003984,0.0,0.09561752988047809,0.04780876494023904,0.00796812749003984,0.00796812749003984,0.00796812749003984,0.01195219123505976,0.0,0.0,0.00398406374501992,0.06374501992031872,0.0,0.05179282868525897,0.0,0.0,0.0,0.03187250996015936,0.0,0.0,0.0,0.0,0.00398406374501992,0.0,0.00398406374501992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01195219123505976,0.0,0.02390438247011952,0.0,0.0,0.02390438247011952,0.0,0.03187250996015936,0.0199203187250996,0.00398406374501992,0.0,0.0,0.0,0.00398406374501992,0.0,0.0,0.00398406374501992,0.0,0.0,0.02390438247011952,0.0,0.0,0.0
3,Christoffel Brändli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.06443298969072164,0.002577319587628866,0.0,0.010309278350515464,0.0,0.030927835051546393,0.02577319587628866,0.002577319587628866,0.020618556701030927,0.0,0.002577319587628866,0.005154639175257732,0.01288659793814433,0.005154639175257732,0.01804123711340206,0.0,0.0,0.015463917525773196,0.0,0.002577319587628866,0.010309278350515464,0.002577319587628866,0.0,0.020618556701030927,0.0,0.0,0.005154639175257732,0.005154639175257732,0.002577319587628866,0.0,0.007731958762886598,0.0,0.03865979381443299,0.002577319587628866,0.01288659793814433,0.005154639175257732,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.007731958762886598,0.002577319587628866,0.0,0.002577319587628866,0.002577319587628866,0.007731958762886598,0.0,0.0,0.2963917525773196,0.007731958762886598,0.005154639175257732,0.005154639175257732,0.020618556701030927,0.03608247422680412,0.01288659793814433,0.0,0.0,0.005154639175257732,0.05412371134020619,0.05670103092783505,0.0,0.0,0.0,0.002577319587628866,0.0,0.0,0.010309278350515464,0.0,0.0,0.010309278350515464,0.015463917525773196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01804123711340206,0.0,0.002577319587628866,0.028350515463917526,0.0,0.0,0.020618556701030927,0.0,0.0,0.0
4,Christoph Blocher,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032467532467532464,0.0,0.0,0.0,0.05844155844155844,0.01948051948051948,0.006493506493506494,0.0,0.0,0.01948051948051948,0.0,0.0,0.012987012987012988,0.0,0.0,0.01948051948051948,0.0,0.006493506493506494,0.0,0.006493506493506494,0.0,0.0,0.006493506493506494,0.0,0.045454545454545456,0.0,0.0,0.006493506493506494,0.012987012987012988,0.1038961038961039,0.0,0.0,0.01948051948051948,0.0,0.0,0.01948051948051948,0.0,0.006493506493506494,0.0,0.0,0.006493506493506494,0.06493506493506493,0.012987012987012988,0.0,0.0,0.2727272727272727,0.012987012987012988,0.012987012987012988,0.0,0.006493506493506494,0.01948051948051948,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.01948051948051948,0.0,0.0,0.03896103896103896,0.0,0.0,0.025974025974025976
5,Christoph Mörgeli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.08333333333333333,0.0,0.0,0.011904761904761904,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.011904761904761904,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.011904761904761904,0.0,0.011904761904761904,0.0,0.11904761904761904,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.047619047619047616,0.011904761904761904,0.20238095238095238,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.011904761904761904,0.011904761904761904,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0
6,Elmar Bigger,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0
7,Ernst Schibli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
8,Fritz Abraham Oehrli,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.175,0.125,0.075,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.05,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
9,Hannes Germann,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.06382978723404255,0.0425531914893617,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.1702127659574468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.0,0.02127659574468085,0.0,0.0,0.0425531914893617
10,Hans Fehr,Schweizerische Volkspartei (SVP),0.0625,0.0,0.0,0.07291666666666667,0.0,0.0,0.010416666666666666,0.0,0.0,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.020833333333333332,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.052083333333333336,0.020833333333333332,0.03125,0.0,0.0,0.19791666666666666,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.020833333333333332,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0625,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.010416666666666666,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.020833333333333332,0.0,0.0,0.0
11,Hans Hofmann,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.06181818181818182,0.0,0.0036363636363636364,0.007272727272727273,0.0,0.01818181818181818,0.05090909090909091,0.0036363636363636364,0.025454545454545455,0.01090909090909091,0.0036363636363636364,0.007272727272727273,0.01090909090909091,0.0,0.0,0.0,0.0,0.02909090909090909,0.0,0.02909090909090909,0.01090909090909091,0.0036363636363636364,0.0036363636363636364,0.0036363636363636364,0.0,0.01090909090909091,0.0036363636363636364,0.01818181818181818,0.0,0.0,0.01090909090909091,0.0,0.0036363636363636364,0.0,0.007272727272727273,0.0,0.0036363636363636364,0.05090909090909091,0.0036363636363636364,0.0,0.0,0.0,0.0036363636363636364,0.10181818181818182,0.02181818181818182,0.0,0.0036363636363636364,0.0,0.014545454545454545,0.0,0.01818181818181818,0.0,0.0,0.12363636363636364,0.01090909090909091,0.0036363636363636364,0.0,0.0,0.01090909090909091,0.0,0.0,0.0,0.0,0.0,0.06545454545454546,0.0,0.0,0.0,0.007272727272727273,0.0,0.0,0.01090909090909091,0.0,0.01090909090909091,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05818181818181818,0.0,0.0036363636363636364,0.05818181818181818,0.01818181818181818,0.0,0.04,0.0,0.0,0.0
12,Hans Kaufmann,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.020833333333333332,0.0,0.0,0.0,0.006944444444444444,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.006944444444444444,0.0,0.013888888888888888,0.0,0.0,0.006944444444444444,0.0,0.4791666666666667,0.0,0.006944444444444444,0.0,0.0,0.06944444444444445,0.0,0.0,0.013888888888888888,0.027777777777777776,0.04861111111111111,0.034722222222222224,0.0,0.027777777777777776,0.0,0.041666666666666664,0.0,0.0,0.027777777777777776,0.0,0.0,0.006944444444444444,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.0,0.006944444444444444,0.0,0.0,0.0,0.013888888888888888,0.0,0.0,0.006944444444444444
13,Hans Lauri,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.0,0.03636363636363636,0.012121212121212121,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.07272727272727272,0.01818181818181818,0.0,0.0,0.012121212121212121,0.012121212121212121,0.024242424242424242,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.006060606060606061,0.0,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024242424242424242,0.0,0.024242424242424242,0.006060606060606061,0.0,0.012121212121212121,0.024242424242424242,0.0,0.0,0.0,0.0,0.0,0.012121212121212121,0.006060606060606061,0.006060606060606061,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.28484848484848485,0.03636363636363636,0.006060606060606061,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.006060606060606061,0.012121212121212121,0.006060606060606061,0.0,0.006060606060606061,0.0,0.048484848484848485,0.0,0.0,0.012121212121212121,0.0,0.024242424242424242,0.012121212121212121,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.006060606060606061,0.030303030303030304,0.006060606060606061,0.0,0.012121212121212121,0.0,0.006060606060606061,0.0
14,Hans Ulrich Mathys,Schweizerische Volkspartei (SVP),0.0,0.0,0.0,0.011494252873563218,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.0,0.0,0.5977011494252874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.011494252873563218,0.0,0.0,0.0,0.034482758620689655,0.0,0.011494252873563218,0.0,0.0,0.08045977011494253,0.0,0.0,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0,0.0,0.0
