Speaker Party,0
B端rgerlich-Demokratische Partei Schweiz (BDP),103475
Christlich-soziale Partei Obwalden (csp-ow),28464
Christlichdemokratische Volkspartei Oberwallis (CVPO),1903
Christlichdemokratische Volkspartei der Schweiz (CVP),518751
Christlichsoziale Volkspartei Oberwallis (CSPO),7184
Evangelische Volkspartei der Schweiz (EVP),9459
FDP.Die Liberalen (FDP-Liberale),493587
Gr端ne (Basels starke Alternative) (BastA),20931
Gr端ne Partei der Schweiz (GPS),117686
Gr端nliberale Partei (glp),124824
Lega dei Ticinesi (Lega),2445
Liberal-Demokratische Partei (LDP),1672
Schweizerische Volkspartei (SVP),526961
Sozialdemokratische Partei der Schweiz (SP),581868
parteilos (-),34042
